str_4,78.91048115,obj:,4732.040338,1,EQ,1
londo_3,0,,,1,EQ,1
londo_0,0,,,1,EQ,1
archives_4,0,,,1,EQ,1
str_6,0,,,1,EQ,1
londo_2,0,,,1,EQ,1
item_1,76.55844156,,,1,EQ,1
dex_1,0,,,0,GTE,0
item_3,130.5660816,,,0,GTE,0
dex_5,0,,,0,GTE,0
archives_2,1,,,2.84E-13,GTE,0
londo_4,0,,,3.69E-13,GTE,0
londo_5,0,,,1577.346779,GTE,0
str_3,0.2,,,3154.693559,GTE,0
item_0,40,,,0,LT,1
dex_3,0,,,0,LT,1
item_4,93.24681267,,,0,LT,1
str_2,0,,,0,LT,1
str_1,0,,,0,LT,1
lotrhic_3,1,,,0,LT,1
lotrhic_4,1,,,0,LT,1
str_0,0,,,0,LT,1
lotrhic_6,1,,,0,LT,1
str_5,0,,,0,LT,1
archives_3,0,,,0,LT,1
item_6,0,,,0,LT,1
lotrhic_5,1,,,0,LT,1
dex_2,0,,,0,LT,1
lotrhic_1,0,,,0,LT,1
archives_0,1,,,0,LT,1
archives_5,0,,,0,LT,1
lotrhic_0,0,,,0,LT,1
londo_1,0,,,0,LT,1
archives_1,1,,,0,LT,1
archives_6,0,,,0,LT,1
londo_6,0,,,,,
dex_0,0,,,,,
lotrhic_2,0,,,,,
dex_6,0,,,,,
item_2,101.3480619,,,,,
item_5,0,,,,,
dex_4,0,,,,,
