lotrhic_2,0,obj:,1638.352747,1.000001,EQ,1
archives_2,1.000001,,,1.000001,EQ,1
londo_1,0,,,1.000001,EQ,1
item_1,76.55851812,,,1.000001,EQ,1
item_0,40,,,0,GTE,0
dex_1,0,,,0,GTE,0
dex_0,0,,,546.1175824,GTE,0
archives_1,1.000001,,,1092.235165,GTE,0
lotrhic_0,0,,,0,LT,1
dex_3,0,,,0,LT,1
str_0,0,,,0,LT,1
item_3,0,,,0,LT,1
str_2,0,,,0,LT,1
lotrhic_3,0,,,0,LT,1
lotrhic_1,0,,,0,LT,1
londo_0,0,,,0,LT,1
str_3,0,,,0,LT,1
londo_2,0,,,0,LT,1
archives_0,1.000001,,,0,LT,1
item_2,0,,,0,LT,1
archives_3,1.000001,,,,,
str_1,0,,,,,
dex_2,0,,,,,
londo_3,0,,,,,
