str_4,0,obj:,2246.441349,1.000000674,EQ,1
str_2,0,,,1.000000674,EQ,1
lotrhic_1,0,,,1.000000674,EQ,1
londo_1,0,,,1.000000674,EQ,1
londo_3,0,,,1.000000674,EQ,1
londo_2,0,,,0,GTE,0
str_0,0,,,0,GTE,0
archives_3,1.000000674,,,0,GTE,0
archives_0,1.000000674,,,748.813783,GTE,0
archives_1,1.000000674,,,1497.627566,GTE,0
dex_2,0,,,0,LT,1
londo_0,0,,,0,LT,1
dex_4,0,,,0,LT,1
item_4,0,,,0,LT,1
lotrhic_0,0,,,0,LT,1
dex_0,0,,,0,LT,1
lotrhic_3,0,,,0,LT,1
archives_4,1.000000674,,,0,LT,1
item_3,0,,,0,LT,1
str_3,0,,,0,LT,1
item_2,101.3481461,,,0,LT,1
dex_1,0,,,0,LT,1
item_0,40,,,0,LT,1
archives_2,1.000000674,,,0,LT,1
lotrhic_4,0,,,0,LT,1
item_1,76.55849314,,,,,
str_1,0,,,,,
lotrhic_2,0,,,,,
londo_4,0,,,,,
dex_3,0,,,,,
